State,RateState
FL,0.962969199
MI,0.965130978
OH,0.968847501
OK,0.973918828
GA,0.974888575
VA,0.978507718
RI,0.981415096
KY,0.981565573
CT,0.982156421
ND,0.98348508
MD,0.986298926
NJ,0.99303737
TX,0.994188589
IN,0.99426405
KS,0.995861451
TN,0.99815927
NC,0.999202829
NY,0.999828249
NH,1.001275549
LA,1.001841824
MN,1.002356675
UT,1.003004498
WI,1.003576194
MO,1.004056629
ME,1.004718702
MA,1.005151763
IL,1.00547257
VT,1.005608237
AZ,1.00630702
AL,1.007226095
DE,1.011041914
CA,1.011839627
PA,1.013031703
MS,1.016352489
IA,1.017984067
SC,1.02064763
AR,1.024090587
NE,1.025990183
SD,1.030311106
NV,1.03464896
CO,1.034850549
ID,1.0408415
WV,1.041886857
AK,1.042688022
NM,1.058286441
WY,1.067813734
MT,1.069233041
WA,1.075164574
OR,1.080224477
DC,1.096418535
HI,1.112706878
